PunkteGesamt;PunkteJury;PunkteTelevoting;Jahr;Show;Datum;Semi;Startnummer;Land;Interpret;Songtitel;WoerterSongtitel;Blasinstrument;Schlaginstrument;Streichinstrument;Tasteninstrument;Zupfinstrument;ZahlGesamt;ZahlHaupt;ZahlmHaupt;ZahlwHaupt;ZahlmGesamt;ZahlwGesamt;Geschlecht1;Geschlecht2;Geburtsdatum1;Geburtsdatum2;Geburtsdatum3;Geburtsdatum4;Geburtsdatum5;Geburtsdatum6;Alter;Mitverfasser;Vorentscheid;VETeilnehmer;Veroeffentlichung;Dauer;Kuerzel;Englisch;Landessprache;Liebe;Krieg;Gleichberechtigung;Woerterzahl;WoerterHaupt;WoerterNeben;Titelzahl;TitelHaupt;TitelNeben;RaengeQuoten;normiert;WettquoteFinale;WettquoteSemi;Finalquoten;letztesJahrFinale;AbstimmendeLaender;Grenznachbarn;Sprachnachbarn;Flaeche;Einwohner;BIP;Frauenquote;Touristen;TouriproEinw;Festnetzanschluesse;Mobilfunkvertraege
70;64;6;2014;1;06.05.2014;1;6;Albanien;Hersi;One Night's Anger;3;0;1;0;0;1;5;1;0;1;2;3;weiblich;weiblich;01.02.1990;NA;NA;NA;NA;NA;24,25735797;0;1;15;16.03.2014;51;20141Alb;1;0;0;1;0;272;246;26;0;0;0;13;0,8354;NA;2,2;101;0;18;1;1;28750;2889104;4578,631994;20;3673000;1,271328412;8,139128994;115,9979353
237;102;135;2014;1;06.05.2014;1;1;Armenien;Aram MP3;Not Alone;2;0;0;0;0;0;1;1;1;0;1;0;männlich;männlich;05.04.1984;NA;NA;NA;NA;NA;30,08350445;1;0;0;14.03.2014;53;20141Arm;1;0;0;0;0;131;131;0;8;8;0;1;46,1052;NA;1;1,83;1;18;1;0;29740;2912403;3986,231624;10,6870229;1204000;0,413404326;19,66660589;118,7723634
111;94;17;2014;1;06.05.2014;1;8;Aserbaidschan;Dilara Kazimova;Start A Fire;3;0;0;0;0;0;2;1;0;1;0;2;weiblich;weiblich;20.05.1984;NA;NA;NA;NA;NA;29,96030116;0;0;0;16.03.2014;51;20141Aze;1;0;0;1;0;132;132;0;4;4;0;3;6,4902;NA;1,02;13;1;18;2;1;86600;9535079;7891,313147;15,57377049;2298000;0,24100482;18,88827475;111,0134613
60;24;36;2014;1;06.05.2014;1;10;Belgien;Axel Hirsoux;Mother;1;0;0;0;0;0;2;1;1;0;1;1;männlich;männlich;26.09.1982;NA;NA;NA;NA;NA;31,60848734;0;1;11;16.03.2014;51;20141Bel;1;0;0;0;0;191;191;0;9;9;0;7;6,4902;NA;1,1;13;1;18;2;2;30530;11209057;47700,54036;39,33333333;7887000;0,703627433;40,39195878;113,4877626
74;61;13;2014;1;06.05.2014;1;3;Estland;Tanja;Amazing;1;0;0;0;0;0;2;1;0;1;1;1;weiblich;weiblich;19.06.1983;NA;NA;NA;NA;NA;30,88021903;1;1;19;01.03.2014;66;20141Est;1;0;1;0;0;243;241;2;14;14;0;8;1,2593;NA;1,25;67;1;18;2;0;45340;1314545;20367,10316;19;5804000;4,415215911;30,94249919;144,1604617
259;122;137;2014;1;06.05.2014;1;16;Ungarn;András Kállay Saunders;Running;1;0;0;0;1;0;3;1;1;0;2;1;männlich;männlich;28.01.1985;NA;NA;NA;NA;NA;29,26762491;1;1;29;22.02.2014;73;20141Hun;1;0;0;0;0;279;279;0;24;24;0;4;7,031;NA;1,04;12;1;18;1;0;93030;9866468;14267,01215;10,05025126;45984000;4,660634383;30,71143054;119,5971623
120;68;52;2014;1;06.05.2014;1;5;Island;Pollapönk;No Prejudice;2;0;1;0;0;1;6;4;4;0;6;0;Gruppe;männlich;07.09.1974;14.12.1974;08.12.1970;09.11.1970;NA;NA;41,48733744;1;1;9;15.02.2014;80;20141Isl;1;0;0;0;1;302;302;0;0;0;0;12;0,8354;NA;1,91;101;1;18;0;0;103000;327386;54576,74481;39,68253968;1102000;3,366057192;52,20271825;112,6152638
74;27;47;2014;1;06.05.2014;1;2;Lettland;Aarzemnieki;Cake To Bake;3;0;1;1;0;1;4;4;3;1;3;1;Gruppe;gemischt;05.11.1986;NA;NA;NA;NA;NA;27,49897331;1;1;23;22.02.2014;73;20141Lva;1;0;0;0;0;456;456;0;8;8;0;14,5;0,6696;NA;2,75;126;0;18;2;0;64570;1993782;15713,53697;18;6246000;3,132739688;19,7900376;117,9486241
28;24;4;2014;1;06.05.2014;1;11;Moldawien;Cristina Scarlat;Wild Soul;2;0;0;0;0;0;5;1;0;1;4;1;weiblich;weiblich;03.03.1981;NA;NA;NA;NA;NA;33,17453799;0;1;23;15.03.2014;52;20141Mda;1;0;0;1;0;210;210;0;2;2;0;9;1,0416;NA;1,4;81;1;18;1;2;33850;2856950;3328,801449;17,82178218;93900,00153;0,032867219;29,90798612;91,7690032
102;74;28;2014;1;06.05.2014;1;15;Montenegro;Sergej Cetkovic;Moj Svijet;2;0;0;0;0;0;5;1;1;0;2;3;männlich;männlich;08.03.1976;NA;NA;NA;NA;NA;38,16016427;1;0;0;09.03.2014;58;20141Mne;0;1;1;0;0;110;106;4;4;4;0;10;0,8354;NA;1,53;101;0;18;1;1;13810;621810;7388,147794;17,28395062;1350000;2,171081198;26,27819579;161,701761
